area,predicted_iou,point_coords,index,scale (um/px),perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
6206,0.9965187907218933,"[742.5, 1063.125]",26,6.0755,48.29583618535141,168.13097088368343,1.1039814972256936,770,1022,True,729,978,87,89
5223,0.9961723685264587,"[247.5, 961.875]",28,6.0755,44.26566893824255,141.4998486828035,1.1019660729680536,224,928,True,184,889,82,80
5757,0.9961622953414917,"[382.5, 50.625]",29,6.0755,46.41710816170588,155.96680621614013,1.099294656094667,354,85,True,313,42,83,87
5571,0.9961578845977783,"[112.5, 185.625]",30,6.0755,45.71878840409035,150.92775359216893,1.1020732297458755,153,171,True,112,129,82,85
4391,0.9958581328392029,"[1327.5, 151.875]",33,6.0755,40.58123553165162,118.95957027880341,1.101644016698806,1314,189,True,1276,153,75,72
6336,0.9958308935165405,"[1057.5, 725.625]",34,6.0755,49.107116393597174,171.65288938430845,1.1179641659901933,1016,749,True,970,707,90,87
6289,0.9957676529884338,"[1327.5, 523.125]",35,6.0755,48.64842225941952,170.37958038792866,1.1053762055802854,1298,502,True,1253,459,91,89
6238,0.9957062602043152,"[742.5, 691.875]",36,6.0755,48.6484222397982,168.99790466845266,1.1144134259837708,717,660,True,673,616,89,91
6269,0.9955483078956604,"[652.5, 253.125]",37,6.0755,48.472129212574806,169.83774677244787,1.1008803272087986,625,237,True,581,192,86,92
5249,0.9954151511192322,"[1372.5, 320.625]",38,6.0755,44.57831728086581,142.20423238292852,1.112051641437826,1338,339,True,1298,298,81,84
6250,0.9952200055122375,"[832.5, 793.125]",39,6.0755,48.64842233790477,169.32300483774114,1.1122737566920031,859,757,True,817,711,87,93
5641,0.9951629042625427,"[922.5, 556.875]",40,6.0755,46.22427250326303,152.82417124635165,1.1125979520733678,892,542,True,851,499,82,88
4905,0.9950621724128723,"[697.5, 84.375]",41,6.0755,42.619714108271594,132.88469419665924,1.0877679008065946,675,56,True,638,16,76,81
4333,0.9950315356254578,"[427.5, 253.125]",42,6.0755,40.42833752616836,117.38825279390917,1.107993628683179,400,225,True,362,190,76,72
5151,0.9949665665626526,"[1147.5, 961.875]",43,6.0755,43.936477964399835,139.54924766707273,1.1008119023053238,1123,928,True,1081,891,83,78
