area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
5039,0.976265549659729,"[337.5, 860.625]",6.0755,42,93.46377363771583,121.58032492118322,178.61595972509494,43.72709973360146,136.51497942038043,1.1145798160435556,304,865,True,261,826,84,79
5321,0.9765441417694092,"[337.5, 961.875]",6.0755,43,89.48652132625885,168.63040800488903,254.63037518764892,44.884113586152026,144.1548333986593,1.112106125734976,342,944,True,302,903,82,81
5419,0.9842541217803955,"[382.5, 354.375]",6.0755,44,6.500150308340707,213.12179257479482,51.07852817281312,45.23669940514306,146.80981811451508,1.1092178646073352,381,388,True,339,347,83,84
5538,0.9813309907913208,"[382.5, 523.125]",6.0755,45,124.40479641024217,58.78505849545333,53.62155331575411,45.429535122449856,150.03372812662568,1.0946563997103005,391,489,True,349,448,84,83
4866,0.9830648899078369,"[382.5, 624.375]",6.0755,46,250.75312836947637,0.4141795991897629,81.70230158345312,42.75606944329277,131.82811864647175,1.1035134460964653,377,648,True,336,610,80,78
5835,0.9840044975280762,"[382.5, 826.875]",6.0755,47,253.05230532291822,97.20869657499942,81.66829906737762,47.42807592838235,158.07995731651513,1.1323595285370838,358,793,True,315,750,88,88
4346,0.980563759803772,"[382.5, 894.375]",6.0755,48,249.4930231163228,164.0462444416512,67.23649771146822,40.395252361836015,117.74044464397167,1.1028720122254008,387,873,True,349,836,76,76
2658,0.9590574502944946,"[382.5, 995.625]",6.0755,49,186.01687841860146,78.40116422094772,174.6341472880615,33.27570082415142,72.00968749739455,1.2236399052804414,388,1006,False,356,976,64,57
4131,0.9873540997505188,"[427.5, 118.125]",6.0755,50,209.90015035381816,246.03887973664948,74.34684548826624,39.24107677151113,111.91573327755339,1.0949160529193118,411,148,True,376,112,69,71
4062,0.9858551621437073,"[427.5, 219.375]",6.0755,51,100.47493690607254,4.728582131989452,181.15615617171866,39.20799127361645,110.04640730414472,1.1116381761329817,400,226,True,364,191,73,71
4670,0.9838577508926392,"[427.5, 286.875]",6.0755,52,101.34119363465221,253.83646615084996,245.77521722361772,42.210647926616254,126.51814921476017,1.120679281279213,405,308,True,366,270,78,76
4305,0.9787653684616089,"[427.5, 556.875]",6.0755,53,7.417397566556042,45.16740183950782,162.4523063290067,40.37185718312537,116.6296857322361,1.1120862909544256,431,581,True,394,543,73,76
4313,0.9804486036300659,"[427.5, 725.625]",6.0755,54,123.82055060497288,173.07402626754518,60.846169295819,40.31537703629551,116.8464191784284,1.106919860631466,410,726,True,372,689,75,75
5104,0.9819340705871582,"[427.5, 961.875]",6.0755,55,7.312722893519087,197.4054178541717,247.6658373823655,44.01635317221246,138.2759386706929,1.1149917039559478,429,950,True,390,909,81,82
4701,0.9831989407539368,"[472.5, 84.375]",6.0755,56,154.16920249292215,52.1820026524882,246.91395473317894,42.15416772092245,127.35799131875537,1.1103118463073505,443,70,True,407,31,76,79
6165,0.9858447313308716,"[472.5, 118.125]",6.0755,57,197.36149842794606,147.54987643054224,254.57694518168998,48.10300066425775,167.02021197194784,1.102466603468786,497,140,True,455,96,85,91
4536,0.984006404876709,"[472.5, 219.375]",6.0755,58,191.61270524377903,121.51380843004951,15.365810016584796,41.455848081034794,122.88786399103901,1.1128913036312977,474,259,True,436,220,75,77
4028,0.9775009155273438,"[472.5, 354.375]",6.0755,59,199.85213875393868,236.73632041184018,213.1419515001332,39.168053659899485,109.12529015782741,1.11873881600493,480,340,True,444,305,72,71
6122,0.986125111579895,"[472.5, 388.125]",6.0755,60,174.0390829867228,68.79154321349561,98.94881383476105,48.31923126595549,165.8552696986642,1.120213735979663,462,427,True,416,382,90,89
4521,0.9801551103591919,"[472.5, 489.375]",6.0755,61,194.50392390853318,181.4838921597449,102.93426561852259,41.359430300866656,122.48148877942843,1.1113958617121447,476,513,True,437,476,77,75
5058,0.9852801561355591,"[472.5, 624.375]",6.0755,62,2.9455086488235276,88.2750765518019,213.18675231584962,43.64722456503146,137.02972135508716,1.1063400325295587,460,658,True,421,617,78,83
5367,0.9838321208953857,"[472.5, 793.125]",6.0755,63,71.00609612981775,245.77748667009251,11.677605117704017,45.14028156611098,145.40105071426507,1.115195782924021,446,812,True,405,770,82,85
3975,0.9781750440597534,"[472.5, 860.625]",6.0755,64,29.409331630680377,1.3439119356309481,193.51407564583272,38.396711163477256,107.68943107680336,1.0894444909048107,481,888,True,445,853,72,71
4563,0.9798853993415833,"[472.5, 1063.125]",6.0755,65,53.597369778004236,142.3123022636897,3.6895303878942594,42.04120701521515,123.61933937193805,1.1377689304312222,464,1029,True,428,989,75,82
4824,0.9846020936965942,"[517.5, 556.875]",6.0755,66,114.78555432313438,177.2607262899733,191.83785352504484,42.67619427472277,130.69026805396211,1.1089660587561956,514,588,True,476,548,75,81
5170,0.9870936870574951,"[517.5, 725.625]",6.0755,67,65.03056568050437,107.25546145427963,237.58561136353867,44.16925125618097,140.06398960177947,1.1084183778259755,493,739,True,451,700,82,80
6375,0.984718918800354,"[517.5, 928.125]",6.0755,68,120.7775892854087,69.19117136861392,184.69603687395963,48.93767563916658,172.70946493449597,1.1034703632713918,529,968,True,484,923,88,92
4638,0.979322075843811,"[562.5, 50.625]",6.0755,69,3.135571392743548,137.001614011478,191.27930075937456,41.921394527247884,125.65121542999094,1.1129992825185517,591,68,True,551,30,78,76
4432,0.9833964705467224,"[562.5, 185.625]",6.0755,70,77.26212289257637,0.7193055387303104,121.74881265817511,40.837403590095825,120.070329190539,1.1052758452750706,541,215,True,503,177,73,78
6093,0.9851751327514648,"[562.5, 320.625]",6.0755,71,60.93527356000911,52.961460901306026,124.40100088057989,48.11954335434115,165.06961095621708,1.1162616458699701,562,308,True,519,264,87,87
3915,0.9844264984130859,"[562.5, 388.125]",6.0755,72,245.66383643271817,0.8107144268148947,171.45930436994425,38.85540541538279,106.06393023036105,1.1327271482524657,539,391,True,506,356,67,73
5666,0.9830977916717529,"[562.5, 489.375]",6.0755,73,251.7043775613572,207.30813629377244,26.895375009315202,46.55346345748443,153.5014632657026,1.1235220753601516,554,477,True,512,435,84,87
4225,0.9823670387268066,"[562.5, 658.125]",6.0755,74,3.387068195862144,219.34237934128697,185.2247184551467,39.92285346623831,114.46235127031301,1.1080787402196868,540,668,True,505,630,68,77
