index,area,x,y,w,h,predicted_iou,point_coords
74,5162,1338,1004,81,74,0.9942653775215149,"[[1417.5, 1029.375]]"
75,5152,1081,891,83,78,0.994902491569519,"[[1147.5, 961.875]]"
76,5148,72,17,81,82,0.9910496473312378,"[[112.5, 16.875]]"
77,5145,564,109,80,79,0.9921566247940063,"[[607.5, 118.125]]"
78,5144,265,823,80,82,0.9845969080924988,"[[337.5, 860.625]]"
79,5142,790,575,80,83,0.9913874864578247,"[[832.5, 658.125]]"
80,5060,172,459,78,82,0.9875665903091431,"[[202.5, 455.625]]"
81,5058,895,673,82,78,0.9897075891494751,"[[967.5, 725.625]]"
82,5040,422,618,78,82,0.9915905594825745,"[[472.5, 624.375]]"
83,5027,108,288,79,78,0.9901858568191528,"[[157.5, 354.375]]"
84,5013,190,349,79,80,0.9897457361221313,"[[202.5, 354.375]]"
85,4976,1348,917,81,78,0.9897814393043518,"[[1417.5, 961.875]]"
86,4969,137,1005,84,73,0.9911488890647888,"[[202.5, 1029.375]]"
87,4956,1338,610,80,77,0.9865476489067078,"[[1417.5, 658.125]]"
88,4953,253,482,81,79,0.987278938293457,"[[292.5, 556.875]]"
89,4952,214,966,81,79,0.9874692559242249,"[[247.5, 1029.375]]"
90,4920,337,610,79,79,0.988389253616333,"[[337.5, 658.125]]"
91,4919,109,853,83,74,0.991468071937561,"[[157.5, 928.125]]"
92,4915,1041,325,80,78,0.9923713207244873,"[[1057.5, 388.125]]"
93,4908,288,1001,80,77,0.996091902256012,"[[292.5, 1029.375]]"
94,4901,875,593,79,78,0.9918573498725891,"[[877.5, 624.375]]"
95,4897,638,16,76,81,0.9950460195541382,"[[697.5, 84.375]]"
96,4895,774,471,77,82,0.9919108748435974,"[[832.5, 489.375]]"
97,4893,474,548,77,81,0.9921625256538391,"[[517.5, 624.375]]"
98,4890,193,264,79,77,0.988076388835907,"[[247.5, 320.625]]"
99,4884,405,31,79,80,0.9925958514213562,"[[472.5, 84.375]]"
100,4879,1024,30,77,81,0.9902474284172058,"[[1102.5, 84.375]]"
101,4871,1360,149,75,80,0.9969292879104614,"[[1417.5, 151.875]]"
102,4855,771,19,79,80,0.9971283674240112,"[[787.5, 84.375]]"
103,4851,1258,885,80,78,0.9916025996208191,"[[1282.5, 961.875]]"
104,4840,1024,239,77,81,0.9939408898353577,"[[1057.5, 320.625]]"
105,4833,366,270,80,76,0.9903024435043335,"[[427.5, 320.625]]"
106,4827,265,309,79,76,0.9895209670066833,"[[337.5, 354.375]]"
107,4812,992,878,80,76,0.98521488904953,"[[1057.5, 928.125]]"
108,4806,1164,863,79,76,0.9882025718688965,"[[1237.5, 894.375]]"
109,4802,555,528,74,81,0.9892545342445374,"[[607.5, 590.625]]"
110,4788,758,656,79,78,0.9913603663444519,"[[787.5, 725.625]]"
111,4776,1073,620,75,80,0.990016520023346,"[[1102.5, 691.875]]"
112,4775,1156,54,78,79,0.9921936988830566,"[[1192.5, 118.125]]"
113,4762,552,29,78,76,0.989678680896759,"[[607.5, 84.375]]"
114,4748,106,935,80,74,0.9861543774604797,"[[112.5, 995.625]]"
115,4719,854,965,79,74,0.9945712685585022,"[[922.5, 1029.375]]"
116,4714,647,981,74,80,0.9918106198310852,"[[652.5, 1029.375]]"
117,4686,1103,266,77,79,0.9946587085723877,"[[1102.5, 320.625]]"
118,4678,502,176,76,80,0.9914633631706238,"[[517.5, 185.625]]"
119,4677,146,605,81,74,0.9882631301879883,"[[157.5, 658.125]]"
120,4675,426,987,78,79,0.9884097576141357,"[[472.5, 1063.125]]"
121,4668,908,360,77,79,0.9916717410087585,"[[967.5, 421.875]]"
122,4663,89,456,78,73,0.9858731031417847,"[[157.5, 489.375]]"
123,4656,1174,434,76,76,0.9911973476409912,"[[1237.5, 489.375]]"
124,4653,1172,139,76,74,0.993355929851532,"[[1237.5, 151.875]]"
125,4641,637,851,74,77,0.9910394549369812,"[[697.5, 860.625]]"
126,4640,295,134,76,78,0.9890947341918945,"[[337.5, 185.625]]"
127,4617,541,702,73,78,0.9866722226142883,"[[607.5, 759.375]]"
128,4613,1068,816,78,72,0.9833806157112122,"[[1147.5, 860.625]]"
129,4609,988,626,77,73,0.9890115857124329,"[[1057.5, 658.125]]"
130,4608,438,476,77,75,0.9858732223510742,"[[472.5, 523.125]]"
131,4605,647,129,75,79,0.992364764213562,"[[652.5, 185.625]]"
132,4604,1084,90,75,77,0.99083012342453,"[[1147.5, 151.875]]"
133,4603,988,384,76,76,0.9922077655792236,"[[1012.5, 455.625]]"
134,4599,1029,953,75,77,0.9884891510009766,"[[1057.5, 1029.375]]"
135,4585,636,543,72,77,0.9894564151763916,"[[697.5, 556.875]]"
136,4585,293,232,78,77,0.9874390959739685,"[[292.5, 286.875]]"
137,4584,1330,397,73,77,0.9891045689582825,"[[1372.5, 455.625]]"
138,4568,763,318,77,73,0.9934110641479492,"[[787.5, 320.625]]"
139,4567,1258,227,78,77,0.9901991486549377,"[[1327.5, 286.875]]"
140,4564,436,221,76,76,0.9906067848205566,"[[472.5, 286.875]]"
141,4562,315,531,76,77,0.987778902053833,"[[382.5, 556.875]]"
142,4560,1304,538,78,77,0.9922890663146973,"[[1372.5, 556.875]]"
143,4554,1214,716,75,79,0.988851010799408,"[[1237.5, 793.125]]"
144,4543,955,198,75,76,0.9891748428344727,"[[1012.5, 253.125]]"
145,4540,846,299,73,77,0.988667368888855,"[[877.5, 354.375]]"
146,4523,1229,809,77,78,0.9895360469818115,"[[1237.5, 860.625]]"
147,4514,1195,938,75,77,0.9858085513114929,"[[1237.5, 995.625]]"
148,4512,67,582,78,75,0.9806995987892151,"[[112.5, 658.125]]"
149,4506,197,109,75,75,0.9943739771842957,"[[202.5, 118.125]]"
150,4498,199,543,79,77,0.9848883152008057,"[[202.5, 590.625]]"
151,4495,105,774,77,73,0.9824402928352356,"[[112.5, 826.875]]"
152,4494,28,916,75,77,0.9858849048614502,"[[67.5, 995.625]]"
153,4482,900,759,77,74,0.9913718104362488,"[[922.5, 759.375]]"
154,4476,1167,220,76,76,0.9943074584007263,"[[1192.5, 219.375]]"
155,4474,697,454,71,78,0.9894320368766785,"[[742.5, 523.125]]"
156,4467,945,52,72,78,0.9900743365287781,"[[967.5, 118.125]]"
157,4463,616,290,74,76,0.9916947484016418,"[[652.5, 354.375]]"
158,4435,1276,666,76,76,0.9853715896606445,"[[1282.5, 691.875]]"
159,4430,1355,695,73,74,0.9897193908691406,"[[1417.5, 759.375]]"
160,4427,921,449,75,75,0.9917784333229065,"[[967.5, 523.125]]"
161,4419,294,677,74,76,0.9859231114387512,"[[292.5, 725.625]]"
162,4399,1276,153,75,72,0.9958270192146301,"[[1327.5, 151.875]]"
163,4378,1269,970,75,75,0.9874173998832703,"[[1282.5, 1029.375]]"
164,4378,667,775,74,76,0.9829410314559937,"[[697.5, 826.875]]"
165,4368,395,543,73,76,0.9864333271980286,"[[427.5, 556.875]]"
166,4365,766,239,76,72,0.9936971664428711,"[[832.5, 253.125]]"
167,4355,751,398,75,73,0.9883963465690613,"[[787.5, 455.625]]"
168,4350,351,836,76,75,0.9828767776489258,"[[382.5, 894.375]]"
