area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
6093,0.9851751327514648,"[562.5, 320.625]",6.0755,71,77.6288125033931,93.03962862076689,234.3213613465861,48.11954335434115,165.06961095621708,1.1162616458699701,562,308,True,519,264,87,87
3915,0.9844264984130859,"[562.5, 388.125]",6.0755,72,3.7977734938304026,3.163055177323708,198.20214599697192,38.85540541538279,106.06393023036105,1.1327271482524657,539,391,True,506,356,67,73
5666,0.9830977916717529,"[562.5, 489.375]",6.0755,73,137.21403695455888,207.4208322947752,67.47831872241936,46.55346345748443,153.5014632657026,1.1235220753601516,554,477,True,512,435,84,87
4225,0.9823670387268066,"[562.5, 658.125]",6.0755,74,1.662811777425222,1.6032884114317836,69.00964791109236,39.92285346623831,114.46235127031301,1.1080787402196868,540,668,True,505,630,68,77
4556,0.9844239950180054,"[562.5, 725.625]",6.0755,75,55.67963312223103,132.6979712584694,146.0102130414307,41.27955519116059,123.42969760651978,1.0986022616736182,578,740,True,541,702,72,78
5482,0.9847440719604492,"[562.5, 793.125]",6.0755,76,59.2732331436521,25.871501642107894,9.271228349609444,45.333117597358786,148.5165940032795,1.10114960910055,536,818,True,496,775,81,86
4859,0.9812114834785461,"[607.5, 118.125]",6.0755,77,145.06419383638078,106.35945312710713,20.27536985684273,42.73267455890183,131.63847688105346,1.1038941657254089,603,147,True,565,110,78,77
5604,0.9854879379272461,"[607.5, 388.125]",6.0755,78,141.04000357705442,120.88092548737858,236.81136606138904,46.200877560008145,151.8217790577122,1.1188104377663421,620,406,True,578,364,82,85
4626,0.9829617142677307,"[607.5, 590.625]",6.0755,79,253.17469689506598,72.10430088103716,20.362568326682073,41.89799952512905,125.32611526070248,1.114641305985594,590,568,True,555,529,72,79
6147,0.9851592779159546,"[607.5, 624.375]",6.0755,80,196.6284620213087,244.22179198221306,247.06405832028304,48.142938199489464,166.53256171801516,1.1075316792155157,622,654,True,580,609,85,92
3857,0.9766582250595093,"[607.5, 793.125]",6.0755,81,184.19886929384415,211.4784330284196,128.60997947225414,38.276898459675536,104.49261274546681,1.1157786000334706,620,811,True,585,776,70,70
5172,0.9835139513015747,"[607.5, 860.625]",6.0755,82,0.3370034090949042,207.58359332587509,171.87266140227698,44.08937622496017,140.11817296332754,1.1039860334097091,588,888,True,547,848,79,81
5205,0.9780731797218323,"[607.5, 995.625]",6.0755,83,135.4549144746061,251.34730734320297,141.13641165939615,44.11277114859374,141.01219842887082,1.0981511842509726,617,974,True,578,933,81,82
4721,0.9853423237800598,"[652.5, 84.375]",6.0755,84,65.74135622069544,240.9536982039551,247.18517592579315,41.97787477218431,127.89982493423615,1.0963799409472836,675,57,True,640,17,72,81
4398,0.982536792755127,"[652.5, 185.625]",6.0755,85,188.41814911888545,44.80073938840018,113.35319373567357,40.87734116457017,119.14921204422168,1.1160001185629649,684,169,True,647,129,74,78
