area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
2658,0.9590574502944946,"[382.5, 995.625]",6.0755,49,182.27118478938363,177.18970345312275,173.0665319512459,33.27570082415142,72.00968749739455,1.2236399052804414,388,1006,False,356,976,64,57
4131,0.9873540997505188,"[427.5, 118.125]",6.0755,50,46.80613274157924,234.322719160693,178.46688487152397,39.24107677151113,111.91573327755339,1.0949160529193118,411,148,True,376,112,69,71
4062,0.9858551621437073,"[427.5, 219.375]",6.0755,51,243.60336400501615,119.21494606980713,102.35210844432281,39.20799127361645,110.04640730414472,1.1116381761329817,400,226,True,364,191,73,71
4670,0.9838577508926392,"[427.5, 286.875]",6.0755,52,201.0398124916717,237.53186152416848,200.89562196591504,42.210647926616254,126.51814921476017,1.120679281279213,405,308,True,366,270,78,76
4305,0.9787653684616089,"[427.5, 556.875]",6.0755,53,138.87987504876244,188.63130408424425,49.63264450386955,40.37185718312537,116.6296857322361,1.1120862909544256,431,581,True,394,543,73,76
4313,0.9804486036300659,"[427.5, 725.625]",6.0755,54,127.20275015970368,111.58777958956165,243.4395508076369,40.31537703629551,116.8464191784284,1.106919860631466,410,726,True,372,689,75,75
5104,0.9819340705871582,"[427.5, 961.875]",6.0755,55,20.33787564734183,249.75495577508502,64.93754969711287,44.01635317221246,138.2759386706929,1.1149917039559478,429,950,True,390,909,81,82
4701,0.9831989407539368,"[472.5, 84.375]",6.0755,56,188.79401892950048,246.71209282760674,56.65638058268859,42.15416772092245,127.35799131875537,1.1103118463073505,443,70,True,407,31,76,79
6165,0.9858447313308716,"[472.5, 118.125]",6.0755,57,254.60733584857513,210.6023401660473,72.08270892316112,48.10300066425775,167.02021197194784,1.102466603468786,497,140,True,455,96,85,91
4536,0.984006404876709,"[472.5, 219.375]",6.0755,58,85.65471362325123,121.94955797118715,55.34879587139729,41.455848081034794,122.88786399103901,1.1128913036312977,474,259,True,436,220,75,77
4028,0.9775009155273438,"[472.5, 354.375]",6.0755,59,113.38387494972415,4.4058420563418075,94.7080913401505,39.168053659899485,109.12529015782741,1.11873881600493,480,340,True,444,305,72,71
6122,0.986125111579895,"[472.5, 388.125]",6.0755,60,67.49325243538382,62.62454933784396,184.75298345306624,48.31923126595549,165.8552696986642,1.120213735979663,462,427,True,416,382,90,89
4521,0.9801551103591919,"[472.5, 489.375]",6.0755,61,51.43232212335065,131.36783048007527,191.25103437650677,41.359430300866656,122.48148877942843,1.1113958617121447,476,513,True,437,476,77,75
5058,0.9852801561355591,"[472.5, 624.375]",6.0755,62,148.5554527307913,253.39502191403895,113.93186892960443,43.64722456503146,137.02972135508716,1.1063400325295587,460,658,True,421,617,78,83
5367,0.9838321208953857,"[472.5, 793.125]",6.0755,63,156.6177185648308,34.52981021085761,155.93104772073835,45.14028156611098,145.40105071426507,1.115195782924021,446,812,True,405,770,82,85
3975,0.9781750440597534,"[472.5, 860.625]",6.0755,64,0.8000978513481544,196.44054873584355,112.73144202459842,38.396711163477256,107.68943107680336,1.0894444909048107,481,888,True,445,853,72,71
4563,0.9798853993415833,"[472.5, 1063.125]",6.0755,65,189.57486829821605,189.614762779557,106.20202225119239,42.04120701521515,123.61933937193805,1.1377689304312222,464,1029,True,428,989,75,82
4824,0.9846020936965942,"[517.5, 556.875]",6.0755,66,1.6272687972086686,60.07588704950145,242.21010470553267,42.67619427472277,130.69026805396211,1.1089660587561956,514,588,True,476,548,75,81
5170,0.9870936870574951,"[517.5, 725.625]",6.0755,67,255.0,0.0,0.0,44.16925125618097,140.06398960177947,1.1084183778259755,493,739,True,451,700,82,80
6375,0.984718918800354,"[517.5, 928.125]",6.0755,68,52.597177943974444,9.768941096449545,44.20438364156268,48.93767563916658,172.70946493449597,1.1034703632713918,529,968,True,484,923,88,92
4638,0.979322075843811,"[562.5, 50.625]",6.0755,69,255.0,127.5,255.0,41.921394527247884,125.65121542999094,1.1129992825185517,591,68,True,551,30,78,76
4432,0.9833964705467224,"[562.5, 185.625]",6.0755,70,5.577346229388964,56.21243146610258,53.33366626733908,40.837403590095825,120.070329190539,1.1052758452750706,541,215,True,503,177,73,78
6093,0.9851751327514648,"[562.5, 320.625]",6.0755,71,254.26780511446688,216.96412613513945,177.09623506088087,48.11954335434115,165.06961095621708,1.1162616458699701,562,308,True,519,264,87,87
